customer_id,customer_name,total_orders,total_items,total_spent,average_order_value,first_order_date,latest_order_date
CUST001326,Vrinda Om,17,155,6689875.81,393522.11,2024-03-13,2026-07-21
CUST000498,Yuvraj Gokhale,19,168,6600734.51,347407.08,2024-01-13,2026-03-30
CUST003492,Tanay Kar,17,160,6282903.31,369582.55,2024-03-22,2026-05-27
CUST002558,Aarush Dhawan,20,175,6243863.97,312193.2,2024-07-02,2026-07-21
CUST000697,Damini Sarma,15,150,6132012.38,408800.83,2024-01-18,2026-07-04
CUST000905,Widisha Dubey,17,154,6099553.83,358797.28,2024-04-21,2026-02-23
CUST002308,Faraj Majumdar,17,161,6054735.36,356160.9,2024-05-02,2026-06-03
CUST003438,Rachit Savant,20,165,5950298.37,297514.92,2024-04-27,2026-07-01
CUST000450,Ojasvi Chaudhry,19,158,5944786.82,312883.52,2024-05-03,2026-07-16
CUST002427,Ikshita Palla,21,170,5939395.92,282828.38,2024-02-24,2026-07-10
CUST004370,Baljiwan Gara,16,149,5927549.10,370471.82,2024-02-11,2026-06-01
CUST003707,Wishi Mani,16,156,5823904.99,363994.06,2024-02-17,2026-04-21
CUST002423,Tanmayi Sama,17,150,5818877.16,342286.89,2024-02-19,2026-06-07
CUST001108,Megha Mane,17,161,5716526.95,336266.29,2024-02-01,2026-04-17
CUST004090,Tarak Oommen,16,145,5703975.97,356498.5,2024-08-30,2026-05-16
CUST003098,Aayush Nayar,15,133,5640469.15,376031.28,2024-02-03,2026-06-05
CUST003140,Vansha Mannan,19,137,5627272.14,296172.22,2024-03-11,2026-07-14
CUST002787,Krisha Sachdeva,15,135,5614506.82,374300.45,2024-02-05,2026-07-21
CUST004804,Yochana Virk,17,146,5604586.01,329681.53,2024-01-18,2026-03-30
CUST000658,Warinder Dhar,18,152,5590154.81,310564.16,2024-04-03,2026-04-05
CUST003691,Balveer Swamy,15,125,5575535.98,371702.4,2024-02-09,2026-02-27
CUST003643,Vivaan Toor,14,135,5559515.86,397108.28,2024-03-21,2025-12-18
CUST001029,Yashodhara Bala,15,129,5553267.10,370217.81,2024-02-15,2026-07-21
CUST001796,Aarush Parsa,19,148,5532549.96,291186.84,2024-04-30,2026-07-21
CUST004417,Kiaan Bal,18,140,5490881.42,305048.97,2024-01-12,2026-03-09
CUST001357,Wazir Prabhu,17,151,5483457.43,322556.32,2024-01-16,2026-07-19
CUST000839,Laban Deshmukh,15,133,5476555.38,365103.69,2024-01-26,2026-07-08
CUST002115,Chaitaly Badal,17,157,5459498.43,321146.97,2024-03-13,2026-06-23
CUST001104,Daksha Shanker,17,138,5450619.30,320624.66,2024-02-11,2026-04-25
CUST000358,Rachit Joshi,16,151,5447626.79,340476.67,2024-01-21,2026-07-21
CUST002757,Gautam Rajagopal,17,131,5402206.28,317776.84,2024-01-08,2026-05-01
CUST001146,Ikshita Anne,13,147,5400199.60,415399.97,2024-01-15,2026-07-06
CUST003551,Finn Ranganathan,18,131,5397918.42,299884.36,2024-03-17,2026-07-21
CUST002004,Chakradhar Dayal,19,166,5383013.67,283316.51,2024-01-05,2026-07-21
CUST004474,Simon Varkey,16,151,5382232.60,336389.54,2024-03-29,2026-04-12
CUST003621,Omaja Sankar,16,137,5376080.92,336005.06,2024-01-01,2026-07-21
CUST001774,Darpan Boase,15,147,5366281.18,357752.08,2024-02-28,2026-07-07
CUST003497,Yadavi Cherian,16,136,5359103.46,334943.97,2024-01-09,2026-06-01
CUST003255,Oscar Tank,14,156,5351278.68,382234.19,2024-01-15,2026-04-08
CUST001418,Karan Kumar,15,149,5332004.90,355466.99,2024-04-10,2026-07-11
CUST000918,Shravya Palan,16,133,5329531.70,333095.73,2024-01-11,2026-06-12
CUST004853,Raagini Raj,18,153,5328828.21,296046.01,2024-03-20,2026-06-21
CUST003824,Eesha Patil,17,142,5324013.61,313177.27,2024-03-30,2026-06-14
CUST004299,Warinder Choudhury,16,140,5321215.73,332575.98,2024-04-24,2026-04-07
CUST000008,Bhavya Konda,18,135,5309210.31,294956.13,2024-01-07,2026-07-21
CUST003544,Aarnav Magar,14,142,5303722.28,378837.31,2024-05-25,2026-07-21
CUST000955,Tripti Keer,17,143,5294280.84,311428.28,2024-01-25,2026-07-10
CUST002116,Krisha Venkataraman,18,134,5287133.17,293729.62,2024-05-30,2026-07-21
CUST004236,Triya Soman,17,148,5272717.13,310159.83,2024-01-17,2026-06-28
CUST004521,Zayyan Sidhu,19,158,5261930.27,276943.7,2024-02-12,2026-07-06
CUST000945,Mohammed Taneja,18,138,5253196.32,291844.24,2024-03-17,2026-03-24
CUST003071,Anita Bhattacharyya,15,143,5233726.94,348915.13,2024-04-01,2026-05-18
CUST000609,Sanya Maharaj,17,138,5226688.54,307452.27,2024-02-27,2026-06-21
CUST003040,Falak Yogi,18,154,5221601.40,290088.97,2024-03-06,2026-07-07
CUST004842,Dhriti Chopra,13,140,5220445.62,401572.74,2024-01-11,2026-07-07
CUST004323,Girish Keer,14,158,5216348.85,372596.35,2024-07-11,2026-05-27
CUST003057,Girik Mall,13,121,5213038.72,401002.98,2024-02-11,2026-02-23
CUST000794,Frederick Prabhu,13,131,5207642.10,400587.85,2024-02-26,2026-03-03
CUST002956,Oliver Devi,14,137,5204053.54,371718.11,2024-04-03,2026-07-13
CUST003860,Leela Puri,19,151,5197509.93,273553.15,2024-01-17,2025-10-21
CUST004908,Faris Dua,17,143,5188753.95,305220.82,2024-03-12,2026-05-01
CUST004081,Avi Prabhakar,18,141,5184417.01,288023.17,2024-02-22,2026-04-29
CUST003293,Yasti Tata,16,135,5172389.50,323274.34,2024-03-03,2026-06-22
CUST002966,Lohit Natt,20,125,5169424.56,258471.23,2024-03-02,2026-04-01
CUST003662,Upkaar Palla,15,127,5163970.72,344264.71,2024-08-18,2026-07-21
CUST004266,Tanish Dewan,19,137,5158900.37,271521.07,2024-02-20,2026-03-18
CUST004276,Karan Kar,17,141,5150695.16,302982.07,2024-01-07,2026-06-25
CUST002064,Indira Memon,19,142,5150495.42,271078.71,2024-01-21,2026-06-29
CUST001837,Wishi Atwal,12,142,5147676.24,428973.02,2024-02-21,2026-05-21
CUST000596,Karan Sabharwal,17,135,5134328.04,302019.3,2024-05-06,2026-07-21
CUST002456,Shivani Sen,15,143,5123247.06,341549.8,2024-01-20,2026-07-13
CUST004045,Vaishnavi Nigam,17,144,5121078.64,301239.92,2024-01-15,2026-05-25
CUST004048,Henry Dubey,14,125,5117630.17,365545.01,2024-02-03,2026-04-26
CUST000531,Gaurika Prabhakar,14,127,5101445.77,364388.98,2024-10-29,2026-07-21
CUST000016,Viraj Sarin,20,153,5099714.47,254985.72,2024-01-16,2026-06-29
CUST004814,Madhavi Bajwa,20,145,5088613.85,254430.69,2024-03-04,2026-07-21
CUST002341,Irya Sen,17,157,5085788.57,299164.03,2024-02-01,2025-11-05
CUST003890,Chaaya Mall,21,147,5077952.73,241807.27,2024-01-08,2026-07-21
CUST001112,Fariq Barad,19,131,5074857.00,267097.74,2024-02-22,2026-07-17
CUST000147,Hiral Kulkarni,19,135,5040645.33,265297.12,2024-01-30,2026-07-21
CUST002708,Nihal Sodhi,18,137,5038405.66,279911.43,2024-02-14,2026-07-21
CUST004756,Rayaan Bansal,17,140,5033165.16,296068.54,2024-04-21,2026-07-10
CUST004645,Kala Barad,18,132,5026799.19,279266.62,2024-03-30,2026-07-11
CUST001559,Chandresh Dugar,18,157,5019817.99,278878.78,2024-01-21,2026-06-27
CUST000639,Chakradev Krishnan,15,123,5016509.60,334433.97,2024-01-03,2026-03-09
CUST003864,Anvi Prasad,15,110,5015095.30,334339.69,2024-01-21,2026-03-25
CUST000118,Laban Swamy,18,140,5009101.98,278283.44,2024-02-24,2026-07-04
CUST003261,Oscar Bajaj,17,138,5006123.34,294477.84,2024-02-12,2026-05-11
CUST003271,Barkha Mohan,17,122,4999379.27,294081.13,2024-07-15,2026-04-09
CUST001261,Jalsa Rajagopalan,17,137,4987883.14,293404.89,2024-01-09,2026-03-18
CUST004735,Falak Shenoy,18,136,4983408.46,276856.03,2024-03-29,2026-07-18
CUST004423,Ekanta Agarwal,16,130,4979388.36,311211.77,2024-01-21,2026-06-17
CUST004071,Thomas Iyer,18,132,4974776.69,276376.48,2024-01-16,2026-07-01
CUST004702,Geetika Gopal,17,152,4948929.98,291113.53,2024-03-16,2026-04-30
CUST003678,Abdul Kanda,15,128,4941276.91,329418.46,2024-01-02,2026-07-19
CUST001864,Jhalak Kannan,18,122,4936157.30,274230.96,2024-01-16,2026-06-27
CUST002742,Diya Borde,11,98,4934448.07,448586.19,2024-08-30,2025-10-31
CUST001131,Arjun Shere,16,148,4932598.64,308287.42,2024-02-16,2026-07-07
CUST001886,Aahana Ramesh,16,129,4931277.67,308204.85,2024-05-27,2026-07-12
CUST004670,Ryan Palla,15,126,4929944.89,328662.99,2024-01-06,2026-05-05
CUST001673,Upkaar Munshi,11,117,4928226.29,448020.57,2024-02-10,2026-01-21
CUST003018,Saksham Thakur,16,131,4919089.14,307443.07,2024-01-13,2026-06-05
CUST002614,Finn Gala,18,116,4913802.01,272989.0,2024-01-08,2026-07-12
CUST004072,Balvan Kala,16,120,4901604.03,306350.25,2024-05-10,2026-05-29
CUST001953,Vasatika Sahota,15,126,4895881.19,326392.08,2024-04-19,2026-03-16
CUST001625,Jeet Ramesh,18,138,4894290.81,271905.05,2024-03-11,2026-07-21
CUST000992,Vamakshi Savant,16,125,4890835.51,305677.22,2024-04-15,2026-06-29
CUST002404,Gaurav Agate,12,112,4887126.98,407260.58,2024-04-04,2026-07-21
CUST001207,Jasmit Keer,18,133,4884933.46,271385.19,2024-03-29,2026-07-10
CUST000581,Amruta Aggarwal,14,126,4884357.76,348882.7,2024-04-03,2026-04-09
CUST001163,Ira Sanghvi,14,128,4880128.08,348580.58,2024-02-03,2026-03-04
CUST000624,Mohammed Agate,12,112,4879948.42,406662.37,2024-01-05,2026-04-28
CUST001479,Pavani Menon,18,158,4877202.26,270955.68,2024-01-14,2026-02-21
CUST003378,Darika Gole,15,119,4863144.67,324209.64,2024-01-20,2026-06-27
CUST000650,Orinder Choudhry,21,141,4854343.95,231159.24,2024-01-07,2026-06-16
CUST002934,Sathvik Gill,14,126,4851298.80,346521.34,2024-04-10,2026-07-19
CUST004033,Lipika Keer,12,112,4847181.40,403931.78,2024-06-26,2026-05-10
CUST001336,Manan Bose,15,141,4844911.72,322994.11,2024-02-25,2026-06-06
CUST003789,Tanmayi Mander,14,123,4838939.08,345638.51,2024-02-13,2026-04-03
CUST003235,Mohammed Nanda,17,148,4834991.52,284411.27,2024-01-06,2026-07-21
CUST001934,Darpan Bhattacharyya,13,113,4828642.96,371434.07,2024-02-03,2026-07-14
CUST004443,Yamini Ahuja,14,131,4824926.53,344637.61,2024-04-21,2026-04-27
CUST004387,Falak Butala,17,135,4824613.65,283800.8,2024-01-13,2026-07-09
CUST003411,Dalbir Date,13,132,4822975.07,370998.08,2024-01-02,2026-07-21
CUST004569,Vasudha Borde,17,134,4818390.15,283434.71,2024-06-06,2026-04-23
CUST002644,Christopher Sekhon,15,126,4817977.98,321198.53,2024-02-04,2026-02-19
CUST000519,Sachi Barman,12,143,4815938.80,401328.23,2024-01-05,2025-11-16
CUST001346,Zansi Shenoy,15,130,4813772.72,320918.18,2024-03-31,2026-05-10
CUST001114,Eiravati Luthra,14,129,4809208.18,343514.87,2024-01-24,2026-03-27
CUST004596,Jeremiah Suresh,17,136,4798951.50,282291.26,2024-02-09,2026-05-15
CUST002159,Charles Lata,15,122,4793916.76,319594.45,2024-02-05,2026-07-09
CUST003180,Urvi Kala,15,117,4792642.27,319509.48,2024-07-05,2026-06-19
CUST000505,Ati Wadhwa,10,113,4780573.09,478057.31,2024-04-13,2026-03-25
CUST000137,Harrison Chanda,15,138,4779270.63,318618.04,2024-02-17,2026-07-21
CUST004015,Harshil Arya,18,157,4772694.24,265149.68,2024-02-09,2026-04-15
CUST004112,Shivansh Kunda,13,126,4766563.52,366658.73,2024-02-02,2026-05-29
CUST001159,Sai Khatri,14,121,4762656.59,340189.76,2024-02-20,2026-04-06
CUST000681,Sanya Gulati,15,118,4759988.76,317332.58,2024-02-02,2026-04-19
CUST002176,Amara Sant,17,127,4750022.47,279413.09,2024-01-18,2026-05-29
CUST002336,Yoshita Kari,16,129,4748428.54,296776.78,2024-01-18,2026-07-05
CUST003076,Omkaar Thakur,15,124,4747621.45,316508.1,2024-03-21,2026-06-09
CUST004104,Pooja Panchal,15,127,4747083.80,316472.25,2024-03-16,2026-03-16
CUST003461,Charles Banik,17,137,4743512.45,279030.14,2024-02-01,2026-06-05
CUST003284,Yashica Deol,14,128,4740818.14,338629.87,2024-01-24,2026-07-12
CUST002030,Faqid Biswas,14,127,4737516.92,338394.07,2024-01-22,2026-07-18
CUST003858,Nidra Rao,16,137,4734500.50,295906.28,2024-01-29,2026-07-07
CUST004874,Pratyush Pradhan,20,135,4734073.61,236703.68,2024-01-20,2026-06-29
CUST001442,Champak Sharma,15,116,4731925.74,315461.72,2024-02-11,2025-12-28
CUST002091,Ayushman Nayar,14,106,4729969.38,337854.96,2024-04-13,2026-06-30
CUST003327,Sanya Viswanathan,14,116,4729320.98,337808.64,2024-01-25,2026-05-03
CUST000030,Nimrat Pandey,15,139,4726491.66,315099.44,2024-01-05,2026-07-17
CUST004524,Bhanumati Bawa,13,125,4722728.58,363286.81,2024-04-21,2026-06-13
CUST000684,Arya Jaggi,15,122,4719931.65,314662.11,2024-03-04,2026-07-18
CUST004176,Krishna Mannan,17,139,4714993.18,277352.54,2024-01-15,2026-06-02
CUST000027,Tristan Saxena,16,135,4697596.04,293599.75,2024-04-13,2026-07-14
CUST003903,Harinakshi Babu,15,148,4694564.49,312970.97,2024-01-03,2026-07-18
CUST004836,Brinda Chaudhari,17,133,4694297.40,276135.14,2024-03-24,2026-06-05
CUST002208,Garima Oommen,13,114,4693282.47,361021.73,2024-03-25,2026-02-19
CUST003781,Krisha Mishra,17,114,4690415.42,275906.79,2024-02-05,2026-05-28
CUST001101,Netra Biswas,13,137,4689698.81,360746.06,2024-02-19,2026-07-10
CUST000312,Sathvik Ahluwalia,15,150,4689014.83,312600.99,2024-04-28,2026-07-21
CUST002479,Raksha Sane,13,115,4683355.28,360258.1,2024-03-27,2026-04-29
CUST002287,Chakradev Shukla,18,138,4678832.33,259935.13,2024-01-25,2026-06-25
CUST001045,Dalaja Biswas,16,119,4677771.51,292360.72,2024-02-28,2026-07-14
CUST002836,Vritti Sehgal,14,119,4677511.04,334107.93,2024-01-11,2026-04-18
CUST004027,Zilmil Roy,14,108,4669948.55,333567.75,2024-09-25,2026-06-19
CUST004760,Adweta Mani,11,111,4666089.49,424189.95,2024-01-02,2026-05-14
CUST001748,Pavani Roy,13,124,4666083.38,358929.49,2024-01-10,2026-07-09
CUST004592,Sai Sant,14,127,4659510.06,332822.15,2024-05-24,2026-06-25
CUST001373,Vyanjana Keer,13,125,4659462.77,358420.21,2024-05-15,2026-04-24
CUST001912,Madhavi Ratti,17,134,4659147.25,274067.49,2024-01-13,2026-06-19
CUST003245,Chakrika Bora,14,112,4650975.36,332212.53,2024-02-21,2026-06-04
CUST003187,Hemang Patla,15,123,4649805.71,309987.05,2024-03-30,2026-06-27
CUST000017,Raksha Solanki,20,142,4646805.74,232340.29,2024-01-08,2026-03-30
CUST003939,Waida Chandra,12,128,4637236.42,386436.37,2024-08-21,2026-04-14
CUST002704,George Kunda,20,127,4635359.48,231767.97,2024-01-20,2026-07-05
CUST001453,George Karnik,14,134,4634742.88,331053.06,2024-06-18,2026-06-03
CUST004962,Harrison Contractor,13,120,4631098.76,356238.37,2024-01-29,2026-07-18
CUST000985,Eiravati Rama,16,124,4629917.47,289369.84,2024-01-24,2026-06-12
CUST000975,Chasmum Roy,13,120,4626650.70,355896.21,2024-02-17,2026-03-25
CUST004221,Quincy Prasad,16,126,4626272.68,289142.04,2024-01-11,2026-02-20
CUST001757,Guneet Swaminathan,15,131,4622161.34,308144.09,2024-02-10,2026-04-14
CUST000418,Upadhriti Saha,16,131,4620917.94,288807.37,2024-03-15,2026-04-02
CUST000823,Vinaya Amble,17,119,4618589.77,271681.75,2024-02-23,2025-11-29
CUST002982,Arin Virk,15,125,4617610.34,307840.69,2024-03-23,2026-07-18
CUST004504,Bhavya Sen,14,120,4616541.94,329753.0,2024-02-02,2026-07-06
CUST003941,Krishna Bahl,16,129,4615848.27,288490.52,2024-01-11,2026-07-21
CUST001936,Ekaraj Walla,14,111,4615431.19,329673.66,2024-01-10,2026-02-16
CUST002783,Omaja Bhasin,14,129,4612915.84,329493.99,2024-01-17,2026-05-18
CUST004125,Hemal Korpal,15,130,4611599.77,307439.98,2024-04-18,2026-04-24
CUST003340,Fariq Rai,14,109,4608219.62,329158.54,2024-01-30,2026-04-09
CUST004135,Nitesh Balay,15,128,4606034.97,307069.0,2024-04-06,2026-07-21
CUST002101,Harish Tara,15,129,4605627.01,307041.8,2024-04-16,2026-06-25
CUST004307,Shaurya Batta,13,111,4604314.03,354178.0,2024-02-23,2025-12-09
CUST004339,Yatan Padmanabhan,14,124,4602902.52,328778.75,2024-04-11,2026-02-16
CUST000961,Shravya Radhakrishnan,15,123,4601081.18,306738.75,2024-04-14,2026-04-01
