dimension,business_key,customer_full_name,city,state,customer_segment,email,effective_from,effective_to,is_current,record_version,product_name,category,brand,price
dim_customer,CUST000005,Upkaar Dara,Bulandshahr,Manipur,Regular,ikala@gmail.com,1900-01-01,2026-07-20,False,1,,,,
dim_customer,CUST000005,Upkaar Dara,Bulandshahr,Manipur,Silver,ikala@gmail.com,2026-07-21,,True,2,,,,
dim_customer,CUST000079,Baghyawati Kaul,Giridih,Uttarakhand,Regular,elijah56@hotmail.com,1900-01-01,2026-07-20,False,1,,,,
dim_customer,CUST000079,Baghyawati Kaul,Giridih,Uttarakhand,Silver,elijah56@hotmail.com,2026-07-21,,True,2,,,,
dim_customer,CUST000146,Krishna Loke,Buxar,Uttar Pradesh,Regular,bhanumatikrishnamurthy@gmail.com,1900-01-01,2026-07-20,False,1,,,,
dim_customer,CUST000146,Krishna Loke,Buxar,Uttar Pradesh,Silver,bhanumatikrishnamurthy@gmail.com,2026-07-21,,True,2,,,,
dim_customer,CUST000154,Manbir Dugar,Proddatur,Tripura,Regular,sahnichaitanya@gmail.com,1900-01-01,2026-07-20,False,1,,,,
dim_customer,CUST000154,Manbir Dugar,Latur,Rajasthan,Regular,sahnichaitanya@gmail.com,2026-07-21,,True,2,,,,
dim_customer,CUST000162,Tejas Kuruvilla,Deoghar,Odisha,Regular,bishakha81@hotmail.com,1900-01-01,2026-07-20,False,1,,,,
dim_customer,CUST000162,Tejas Kuruvilla,Deoghar,Odisha,Silver,bishakha81@hotmail.com,2026-07-21,,True,2,,,,
dim_customer,CUST000173,Siddharth Kamdar,Deoghar,West Bengal,Regular,maanav57@hotmail.com,1900-01-01,2026-07-20,False,1,,,,
dim_customer,CUST000173,Siddharth Kamdar,Deoghar,West Bengal,Silver,maanav57@hotmail.com,2026-07-21,,True,2,,,,
dim_customer,CUST000195,Kalpit Sethi,Raiganj,Andhra Pradesh,Regular,yohannanazaan@hotmail.com,1900-01-01,2026-07-20,False,1,,,,
dim_customer,CUST000195,Kalpit Sethi,Raiganj,Andhra Pradesh,Silver,yohannanazaan@hotmail.com,2026-07-21,,True,2,,,,
dim_customer,CUST000196,Meera Parmar,Karaikudi,Manipur,Regular,rishigill@gmail.com,1900-01-01,2026-07-20,False,1,,,,
dim_customer,CUST000196,Meera Parmar,Karaikudi,Manipur,Silver,rishigill@gmail.com,2026-07-21,,True,2,,,,
dim_customer,CUST000214,Sachi Sheth,Arrah,Tamil Nadu,Regular,leena74@hotmail.com,1900-01-01,2026-07-20,False,1,,,,
dim_customer,CUST000214,Sachi Sheth,Arrah,Tamil Nadu,Silver,leena74@hotmail.com,2026-07-21,,True,2,,,,
dim_customer,CUST000219,Jagvi Garde,Mau,Telangana,Regular,ozakrishna@hotmail.com,1900-01-01,2026-07-20,False,1,,,,
dim_customer,CUST000219,Jagvi Garde,Gulbarga,Gujarat,Regular,ozakrishna@hotmail.com,2026-07-21,,True,2,,,,
dim_customer,CUST000276,Anya Keer,Thrissur,Madhya Pradesh,Regular,nikita57@yahoo.com,1900-01-01,2026-07-20,False,1,,,,
dim_customer,CUST000276,Anya Keer,Thrissur,Madhya Pradesh,Silver,nikita57@yahoo.com,2026-07-21,,True,2,,,,
dim_customer,CUST000371,Zayan Tata,Kirari Suleman Nagar,Tamil Nadu,Regular,cdin@hotmail.com,1900-01-01,2026-07-20,False,1,,,,
dim_customer,CUST000371,Zayan Tata,Kirari Suleman Nagar,Tamil Nadu,Silver,cdin@hotmail.com,2026-07-21,,True,2,,,,
dim_customer,CUST000381,Jacob Ramachandran,Bidhannagar,Karnataka,Silver,janakichatterjee@yahoo.com,1900-01-01,2026-07-20,False,1,,,,
dim_customer,CUST000381,Jacob Ramachandran,Bhimavaram,West Bengal,Silver,janakichatterjee@yahoo.com,2026-07-21,,True,2,,,,
dim_customer,CUST000403,Lakshmi Oak,Meerut,Bihar,Regular,wablesara@gmail.com,1900-01-01,2026-07-20,False,1,,,,
dim_customer,CUST000403,Lakshmi Oak,Meerut,Bihar,Silver,wablesara@gmail.com,2026-07-21,,True,2,,,,
dim_customer,CUST000447,Jonathan Puri,Varanasi,Uttarakhand,Silver,zbalan@gmail.com,1900-01-01,2026-07-20,False,1,,,,
dim_customer,CUST000447,Jonathan Puri,Varanasi,Uttarakhand,Gold,zbalan@gmail.com,2026-07-21,,True,2,,,,
dim_customer,CUST000450,Ojasvi Chaudhry,Srikakulam,Assam,Regular,ydutta@hotmail.com,1900-01-01,2026-07-20,False,1,,,,
dim_customer,CUST000450,Ojasvi Chaudhry,Srikakulam,Assam,Silver,ydutta@hotmail.com,2026-07-21,,True,2,,,,
dim_customer,CUST000460,Sneha Sangha,Nadiad,Karnataka,Regular,anshagate@yahoo.com,1900-01-01,2026-07-20,False,1,,,,
